Titre,Tags
"5.3- Décoder les attentes et pratiques d&#39;apprentissage des étudiants",
"Comment dynamiser vos formations en amphithéâtre avec Klaxoon ? | Klaxoon tips","Training Klaxoon"
"Webinaire - Comment les outils collaboratifs simplifient et favorisent l’apprentissage hybride ?","éducation webinaire distanciel hybridation"
"12 choses à savoir avant d&#39;entrer à la fac [BACK TO SCHOOL 2022]","Téné conseil_fac université rentrée back_to_school 2022"
"Les Grands Débats 2022 - Hybrider la formation",
"[ WEBINAIRE - Episode 2 ] La qualité à l&#39;IFEAP, zoom sur ...",
"Mercredi de CY - Histoire",
"L&#39;offre de formation de la Faculté de droit, économie et administration de Metz","étudiant étudiante lorraine nancy metz recherche université sciences droit formation doctorat master licence culture enseignement faculté"
"Séance d&#39;information - Technologie des véhicules électriques",
"LIVE SPÉCIAL ADMISSIONS EN 1ERE ANNÉE À L&#39;EPP",
"#7 : Stage professionnel impossible : Une alternative à distance en ligne !","#pedagogie Elearning"
"Pré-rentrée L2 2021",
"Webinaire d&#39;information sur le Certificat Français du Fundraising",
"Comprendre l&#39;université, avec Université de Bourgogne et l&#39;Université de Franche-Comté",
"Webinaire IFprofs CoronaFLE #9 &quot;Concevoir et animer un cours de FLE à distance&quot;","langue française CovidFLE CoronaFLE"
"L&#39;alternance - Journée d&#39;acculturation à la FLTV - SEFCA 2022",
"Soutenance de Thèse de Doctorat PhD de Mlle DONGMO JUMETA Juhane Kevine",
"30 MINUTES OU PRESQUE // Étudier les sciences à la fac","admission concours orientation postbac projet_noria noriaTV noria_TV Unistra université bac_2022 parcoursup formation education études lycée lycéen lycéenne étudiant physique chimie math_info mathématiques mathématique informatique ingénieur sciences géophysique"
"Journée d&#39;acculturation à la FTLV (matin)",
"[Rentrée EHESS 2022] Table ronde &quot;Faire un master&quot;",
"Semaine CAPSULE 2021 : Enseignement vidéo par un binôme/quadrinôme d’enseignants",
"Mercredi de la Découverte - HISTOIRE",
"Présentation Projet Kart - IUT de Haguenau",
"Conférence de présentation de la Licence de Droit et Science Politique 2",
"Journée de l&#39;innovation pédagogique par le numérique - néo bacheliers IUT",
"Pédagogie active - Témoignage d&#39;une directrice, leader pédagogique",
"Webinaire : La transformation post-Covid des établissements de la CGE",
"Cape TV : épisode 2 - la Formation à distance avec le projet PaRM",
"Fac de DROIT : 5 conseils pour ASSURER EN L1 (et REUSSIR votre CURSUS juridique)","Juriswin Rémi_Raher Fac_de_Droit Réussir_en_L1 Obtenir_sa_L1 Chargé_de_TD droit"
"Webconférence 2022 - Institut de Formation en Soins Infirmiers (IFSI)","orientation Parcoursup IFSI univ_cotedazur daretocreate"
"Centrale Marseille - Cursus Ingénieur","campus channel école commerce live ingénieurs universités formation"
"Soirée Portes Ouvertes Digitale - Suivez le live et posez vos questions",
"Réforme du 2ème cycle : réunion des référents R2C - 16 février 2021",
"Les mystères d&#39;Arkham #2 - Audio - GÉNÉRALITÉS","lovecraft howard phillips philip cthulhu descartes jeu_de_rôle l'appel arkham HP_lovecraft le_jeu_cthulhu innsmouth dunwich roliste rôliste donjons dragons roll20 actual_play ebook ebook_cthulhu"
"Filmer avec son smartphone, épisode 5 : j&#39;irai filmer chez vous, IFP School","videolearning microlearning virtualreality"
"Présentation de licence professionnelle métiers de la santé et du master santé publique.","santé diplôme master licence université"
"Présentation protocole sanitaire LV",
"Comprendre la conception du district scolaire de philadelphie pour l&#39;eneignement numérique","FACE Philadelphia Education French Families"
"Juniper Virtual Summit–Enseignement supérieur–Stratégies data : améliorez la qualité des expériences","université grande_école"
"Comment accompagner le parcours de l&#39;élève dans et hors la classe ?",
"Webinaires Formation Continue : Présentation de la nouvelle offre de formation de l&#39;UCA 2021-2026","clermont Auvergne université France formation diplôme inscription parcours"
"Jour 2 #20 MoodleMoot 2019 - Améliorer la formation en addictologie avec Moodle","Moodle_Moot Rennes_1 Suptice Moodle CREA"
"Ingénieur en 5 ans - le tronc commun à l&#39;UTBM","utbm université technology belfort montbeliard france"
"Séminaire Hybridation UPF : Christophe BATIER l&#39;hybridation à l&#39;UPF  en 10 points",
"Découvrez les programmes et services de la Nation Métisse de l’Ontario!",
"Portes Ouvertes 2019 - IUT Bordeaux Montaigne   Carrieres Sociales",webtv
"[RP-E1] Intervention de Matthieu HAUSMAN (2/6)","Liège Luxembourg Évaluation"
"[WEBINAIRE] : le Contrat d&#39;intégration républicaine",
"FTLV5 Live du 15 juin 2018 Partie 2",
"La formation professionnelle","snep snep-fsu"
"Mercredis de CY - Département Génie biologique de l&#39;IUT de CY Cergy Paris Université",
"Replay Webinar : Double cursus Optique &amp; Audio",
"Webinaire Initiative Carte Etudiante Européenne - 28 janvier 2021 - Cartes et Services Etudiants",
"[Replay] Les métiers de l&#39;automobile - Journée Découverte des Métiers de l&#39;Artisanat 2022",
"REUNION DE PRESENTATION DES EMES FINANCE DE L&#39;ISAE-ISM PARIS DU 17 SEPTEMBRE 2021","#CAF #ISMPARIS"
"CONFERENCE-Les nouvelles méthodes d&#39;enseignement à l&#39;heure du digital et de l&#39;après COVID",
"Réunion de rentrée en Licence 2 de Droit",
"[WEBCONF] Réforme de la formation professionnelle :  l&#39;innovation libérée ?","foad reforme formation innovation"
"Journée Internationale des Droits des Femmes 8 mars 2022 - Webinaire","femmes égalité webinaire"
"Galilée et la chute des corps - Cours Commun 2021 #1",
"Réunion L3 - 2e édition oct 2020",
"Initiatives et pratiques pour une continuité pédagogique : expériences croisées en Francophonie",
"SEMAINE INTERNATIONALE - Réunion info 3A4A apprentis",
"Fac de DROIT : 5 conseils pour REUSSIR SES TD et obtenir (plus facilement) sa licence juridique","juriswin TD_droit L1_droit reussir_droit fac_de_droit joker_TD_droit méthodo_droit chargé_de_TD"
"Je pense : Des élèves s’initient à la philosophie","documentaire reportage lycéens philosophie adolescent adolescence"
"Transférer &quot;à distance&quot; des pratiques de classe inversée en présence ?",
"Comment vivre de la vidéo et de la photo de voyage","podcast photo fred_marie vidéo voyage travel canada métier business marketing conseil professionnel filmmaker réalisateur director filmer cadrage vente audio"
"4ème forum de l&#39;Alternance - Un rendez-vous pour bien choisir. Visio  EPLE du Sud Basse Terre",
"Webinaire CdL #10 - Frantastique, outil marketing au service des établissements (petits et moyens)","langue française"
"Webinaire Collaboratif et Télétravail","La_Mêlée Start_up Le_Starter Toulouse Montpellier Occitanie Interview Entrepreneur Conférence Digital Association Édouard_Forzy Atelier Formation Numérique Échange Rencontre TransfoNum Inclusion Vidéo Live Table_ronde Animateur Animatrice Partenariat Tier_lieu Co-working Événement Nova La_Cantine Accompagnement Service Afterwork Adhérent Adhérente Tiers_Lieux Cantine Nova_Mêlée"
"[WEBCONF] Le FFFOD lance de nouveaux chantiers !","digital learning Edtech assiduité innovation pédagogie"
"RDV du Numérique Éducatif 2022 - La gestion de projet en classe et le chef d’œuvre",
"la diversité des métiers de l&#39;informatique",
"Club Paris &quot;Les entreprises s&#39;engagent&quot; - Anemo Mesurer l&#39;intelligence culturelle de vos équipes","inclusion alternance handicap réfugiés"
"FORUM Webinaire : BTS Systèmes Numériques",
"Taïwan vu par une française passionnée (+ conseils pour apprendre le chinois / le français)","la_dordogne dordogne alex_see"
"Formations synchrones à distance, retour d&#39;expérience.",
"Réunion ordinaire publique - 31 mars 2021",
"Atelier - Évaluation des apprentissages - 11 mars 2020",
"Live spécial BTS : derniers conseils avant le jour J !",
"Qu&#39;est ce qu&#39;une formation de qualité?","Formation personnelle"
"Regards sur Rennes le Château: Table ronde","Mystère Enigme Claire_CORBU Paul_Saussez Michel_VALLET Ludovic_RICHET"
"Séance du Conseil - 22 juin 2021",
"CONFERENCE 1 « Les nouvelles méthodes d’enseignement à l’heure du digital et de l’après COVID »",
"Karaté Do NI N2 : Kata Pinan Nidan et Bunkai",
"Explication Projet TAI  2021-12-15 - Partie 1 - (viewer discretion is advised)",
"Vidéo présentation de la formation AWS Certified","aws_tutorial aws_lambda awesomenesstv aws_glue aespa awsaz_nct aws_ec2 awesome_god awsten_knight"
"IR : Fiscalité des Entreprise : l&#39;Impôt sur le Revenue partie 2, IR salariale, IR brut, et IR net","lir_fiscalité ir_maroc"
"ARPA 2.0 : La communauté FOAD en Bourgogne : la situation actuelle et celle à venir","FOAD Bourgogne"
"L&#39;enseignement à distance: produire un texte argumentatif",argumentation
"Session 3 :Tarik Ait El Moumen - 4ème édition du colloque international: CITEF 2021","البث المباشر CAMPUS_MAROCTV إسرائيل التطبيع"
"Webinaire Entreprises  &#39;Les RF au coeur de la réforme  quel futur pour vos dispositifs de formation",
"Déroulement des cours de SVT.",
"Soutenir la sante et le bien-être des enseignants et formateurs des enseignants...",
"Reflecting Residencies 1 : Les tendances internationales en matière d&#39;accueil en résidence.",
"Programme ENR- Session d&#39;information",
"Webinar Kevin Laurent . Jérôme Gabillaud - Live Sessions NN 2020",
"Webinaire : Présentation Étude des publics des arts de la scène au Québec par le GTFAS",
"Cours de calcul et analyse des coûts - Comptabilité de gestion - Présentation du cours",
"Webinaire E-santé mentale du 19 avril 2022",
"Webinaire E-santé mentale du 19 avril 2022",
"Présentation du master 2 Finance d&#39;Entreprise du 15 juin 2022",
"Kevin et Perry Go Large en entier VF","Kevin_et_Perry film comédie"
"Conférence de Guillaume Willem sur les entretiens d&#39;écrivains",GRÉLQ
"Webinaire IFprofs CoronaFLE #6 &quot;Animer un cours de FLE jeune public à distance&quot;","langue française CovidFLE CoronaFLE"
"Webinaire Entreprises",
"(eng) 의대생VLOG┇시험을 던졌다‍️┇집콕 요리┇️그린캠핑 (with. 캐논)","의대생 브이로그 젤리쉬 본과생 Korean_Vlog Studywithme Medstudent 아이패드 공부자극 가천대 green_camping eco-friendly glamping 글램핑 그린캠핑 캠핑vlog 요리vlog yt:cc=on 자취요리"
"Baptiste Juge : de l&#39;ingénierie à la comédie musicale","interview changer_de_vie Polytech Théâtre"
"Imam Moustapha Gueye 1",
"&quot;Un lien de personne à personne&quot; | Paroles d’enseignant·e·s confiné·e·s avec Benjamin Templier",
"L’investissement dans la deeptech, un modèle à repenser !",Tags_0
"Présentation du Programme CHIEF DATA OFFICER",
"#6 UE MIPNES 2018 - Conférence de Michel Allemand - Le projet PC Scol","MIPNES RENNES_1 SUPTICE"
"Golf et santé mentale : pourquoi ça marche? #3",
"AWS Certified Solutions Architect Associate 2020 [SAA-C02]","aws_certified SAA-C02 Cloud_AWS iteachonudemy udemy"
"La préformation, un tremplin gagnant gagnant pour les employeurs et les apprenants.","emploi handicap oeth"
"AIF 2021 - Francophonie influence et débat d&#39;idées - Fonds Langue française 7/10/21",
"AGEF-ABS webinar 8",
"[TALK] L&#39;intelligence Artificielle dans le secteur du Vin w/ WINESPACE","code tutorial bootcamp le_wagon learn_to_code women_in_tech"
"PPT Portes ouvertes virtuelles Présentation générale màj 26 juin","formation bachelier bachelor cours_du_soir assurance marketing comptabilité fiscalité informatique cybersecurity"
"Portes ouvertes virtuelles - Éducation des adultes",
"Semences oléagineuses : Journée technique 11/01/2021","semences agriculture oleagineux colza tournesol"
"How technology will help move us into the future ? • Dr. Sheila Riley • Nathan Hale High School",
"Table 26 mars 2020 - Gestion des étab. d&#39;enseignement à l&#39;ère de l&#39;implantation du numérique",
"Troubles hydrosodés 1 généralités",
"نصائح لإمتحان باكالوريا 2020",
"Mise à jour sur le conflit Ukrainien et session de Questions/réponses  03/03/2022","ukraine russie invasion guerre OTAN Histoire géopolitique ukraine_war Poutine Ukraine_2022 Tchernobyl nucléaire"
"« Enjeux intellectuels et techniques de l’analyse des ornements de Marc Michel Rey » - 16 juin","Université Jean Monnet Saint Etienne Univ Saint-Etienne faculté arts lettres langues médecine sciences humaines sociale droit formation continue CILEC STAPS Télécom recherche laboratoire Lyon Press loire rhône-alpes"
"Le calame et la croix : la christianisation de l&#39;écrit... (5) - Jean-Luc Fournet (2018-2019)",
"Arduino Projects, IoT projects, ESP8266 projects, ESP32 projects, Diy projects, project ideas","arduino arduino_uno electronics how_to_make iot_projects diy_projects"
"11th ClassHumanities2nd Paper,Sultan Buri,Lec 60",
"Structure de données: Séance 4 (Informatique 4)",
"Séminaire N°1 - Université Citoyenne HEM 2021 : Nadia BERNOUSSI","HEM_Maroc Fondation_HEM gratuits Maroc Institutions en_ligne"
"Communauté Univers social, 4 février 2021",
"7th Sitting, 3rd Session(24.01.2020)",
"How To Command Respect From Students | Engage to Educate | Episode 1","We_and_Me Zoom_Meeting Online_Meeting Team_Building"
"Introducing Great River Learning&#39;s Classroom Engagement Tool",#publishing
"Blackboard Attendance solution",Blackboard
"Creating Videos for the Flipped Classroom","PTZOptics live_learning online_courses education PTZOptics_LIVE Back_to_Basics"
"Classcraft + Canvas: Driving Academic Engagement",
"Introduction to SchoolManagementSystem.net","Techistan Software Management report_cards"
